31.20	14.30	22.75	0.00	68.00	91.00	45.0
33.50	16.80	25.15	0.00	60.00	84.00	36.0
35.90	19.20	27.55	0.00	45.50	62.00	29.0
28.00	16.80	22.40	9.00	75.50	98.00	53.0
23.00	16.30	19.65	0.00	82.50	95.00	70.0
28.40	18.70	23.55	0.60	75.50	88.00	63.0
35.60	21.70	28.65	33.00	74.00	90.00	58.0
29.20	17.80	23.50	0.00	82.50	97.00	68.0
33.20	20.00	26.60	0.00	63.50	82.00	45.0
32.60	23.00	27.80	8.00	81.50	93.00	70.0
33.30	21.20	27.25	0.00	63.00	84.00	42.0
32.00	23.00	27.50	0.00	67.50	82.00	53.0
33.80	20.40	27.10	0.00	63.50	84.00	43.0
37.20	20.80	29.00	0.00	54.50	77.00	32.0
37.00	21.30	29.15	0.40	59.50	83.00	36.0
33.70	22.60	28.15	0.00	68.00	88.00	48.0
36.90	22.20	29.55	0.20	60.00	80.00	40.0
28.90	19.70	24.30	0.00	68.50	88.00	49.0
29.20	19.80	24.50	0.00	55.00	62.00	48.0
32.60	22.40	27.50	0.00	57.50	71.00	44.0
35.80	21.40	28.60	0.00	57.00	81.00	33.0
37.60	22.00	29.80	4.00	44.00	57.00	31.0
35.80	21.60	28.70	0.00	72.00	95.00	49.0
35.60	21.90	28.75	0.00	57.00	79.00	35.0
36.50	22.10	29.30	0.00	57.00	74.00	40.0
37.30	20.00	28.65	15.00	69.00	98.00	40.0
32.10	19.50	25.80	0.00	69.50	95.00	44.0
35.30	19.80	27.55	0.00	60.00	80.00	40.0
35.00	23.20	29.10	3.00	64.00	90.00	38.0
35.20	21.40	28.30	5.00	54.50	65.00	44.0
34.40	21.70	28.05	17.00	72.50	90.00	55.0
30.40	17.40	23.90	15.00	94.00	100.00	88.0
28.40	19.20	23.80	0.00	68.50	89.00	48.0
32.30	18.40	25.35	0.00	68.50	90.00	47.0
34.00	21.90	27.95	0.00	62.00	77.00	47.0
29.80	22.60	26.20	0.00	70.00	85.00	55.0
34.60	22.00	28.30	0.00	55.00	72.00	38.0
36.00	19.60	27.80	0.00	56.50	76.00	37.0
35.60	22.00	28.80	0.00	51.50	70.00	33.0
39.20	19.20	29.20	0.00	51.50	75.00	28.0
31.20	20.30	25.75	0.00	60.50	72.00	49.0
28.00	19.40	23.70	0.00	54.00	70.00	38.0
29.90	18.90	24.40	0.00	54.50	76.00	33.0
32.00	20.80	26.40	0.00	46.00	67.00	25.0
34.20	20.20	27.20	0.00	45.00	62.00	28.0
36.50	22.80	29.65	0.00	44.00	63.00	25.0
38.70	21.70	30.20	0.30	51.00	72.00	30.0
25.40	18.80	22.10	52.00	91.50	96.00	87.0
30.60	19.80	25.20	0.00	79.00	96.00	62.0
37.30	22.20	29.75	0.00	69.50	89.00	50.0
35.50	23.30	29.40	0.00	66.50	90.00	43.0
33.90	23.40	28.65	0.00	68.50	89.00	48.0
32.10	24.80	28.45	2.00	70.50	77.00	64.0
28.40	20.20	24.30	1.00	82.00	95.00	69.0
28.20	20.80	24.50	0.00	80.00	90.00	70.0
31.00	22.70	26.85	0.00	78.50	94.00	63.0
39.00	23.80	31.40	0.00	67.50	89.00	46.0
39.00	23.00	31.00	10.00	67.00	89.00	45.0
25.30	21.80	23.55	2.00	90.00	93.00	87.0
